id,famiy_member
1,独身
2,既婚・共働き(配偶者控除無し)
3,既婚（配偶者控除有り）
4,既婚・共働き（配偶者控除無し）＋子1人（高校生）
5,既婚・共働き（配偶者控除無し）＋子1人（大学生）
6,既婚（配偶者控除有り）
7,既婚・共働き（配偶者控除無し）＋子2人（大学生と高校生）
8,既婚（配偶者控除有り）＋子2人（大学生と高校生）
